src_ip,dst_ip,src_port,dst_port,packet_len,tcp_flags,window_size,rst_flag,ack_flag,syn_flag,rst_ack_flags,attack_type,label
192.168.154.144,216.171.98.69,33111,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,33111,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,33111,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33111,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33111,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33111,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33111,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.66,40089,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.66,192.168.154.144,3436,40089,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.66,40089,3436,60,4,0,1,0,0,0,normal,0
192.168.154.100,192.168.154.138,8973,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.100,192.168.154.138,8974,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8973,60,20,0,1,1,0,1,normal,0
192.168.154.138,192.168.154.100,4444,8974,60,20,0,1,1,0,1,normal,0
192.168.154.144,192.168.154.138,33588,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,33588,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,33588,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33588,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33588,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33588,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33588,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33588,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33588,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33588,8443,468,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33588,196,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33588,85,25,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33588,8443,60,20,365,1,1,0,1,normal,0
192.168.154.144,216.171.98.69,33275,3436,62,2,14600,0,0,1,0,normal,0
192.168.154.144,192.168.154.138,33184,8443,60,17,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33184,60,16,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,391,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,85,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,60,17,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,33640,8443,60,16,320,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33275,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,33275,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,216.171.98.70,44212,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.70,192.168.154.144,3436,44212,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.70,44212,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.70,44212,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.70,192.168.154.144,3436,44212,60,16,64239,0,1,0,0,normal,0
216.171.98.70,192.168.154.144,3436,44212,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.70,44212,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,58550,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,58550,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,58550,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,58550,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,58550,60,16,64239,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,58550,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,58550,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33517,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,33517,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,33517,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33517,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33517,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33517,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33517,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,58710,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,58710,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,58710,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,58710,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,58710,60,16,64239,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,58710,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,58710,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.70,44534,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.70,192.168.154.144,3436,44534,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.70,44534,3436,60,4,0,1,0,0,0,normal,0
192.168.154.100,192.168.154.138,8980,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8980,60,20,0,1,1,0,1,normal,0
192.168.154.100,192.168.154.138,8981,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8981,60,20,0,1,1,0,1,normal,0
192.168.154.144,192.168.154.138,34074,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,34074,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,34074,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34074,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34074,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34074,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34074,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34074,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34074,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34074,8443,468,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34074,196,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34074,85,25,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34074,8443,60,20,365,1,1,0,1,normal,0
192.168.154.144,192.168.154.138,33640,8443,60,17,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,33640,60,16,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,391,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,85,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,60,17,249,0,1,0,0,normal,0
